"CubeId";"rendopar"
"PublishingDate";"2025-09-01 14:30"

"Date";"d0";"Value"
"1988-03-10";"b2";
"1988-03-10";"b3";
"1988-03-10";"t1";
"1988-03-10";"t2";
"1988-03-11";"b0";
"1988-03-11";"b1";
"1988-03-11";"b2";
"1988-03-11";"b3";
"1988-03-11";"t1";
"1988-03-11";"t2";
"1988-03-14";"b0";"4.36"
"1988-03-14";"b1";"-3.303"
"1988-03-14";"b2";"-2.994"
"1988-03-14";"b3";"3.46"
"1988-03-14";"t1";"0.838"
"1988-03-14";"t2";"0.499"
"1988-03-15";"b0";
"1988-03-15";"b1";
"1988-03-15";"b2";
"1988-03-15";"b3";
"1988-03-15";"t1";
"1988-03-15";"t2";
"1988-03-16";"b0";
"1988-03-16";"b1";
"1988-03-16";"b2";
"1988-03-16";"b3";
"1988-03-16";"t1";
"1988-03-16";"t2";
"1988-03-17";"b0";
"1988-03-17";"b1";
"1988-03-17";"b2";
"1988-03-17";"b3";
"1988-03-17";"t1";
"1988-03-17";"t2";
"1988-03-18";"b0";
"1988-03-18";"b1";
"1988-03-18";"b2";
"1988-03-18";"b3";
"1988-03-18";"t1";
"1988-03-18";"t2";
"1988-03-21";"b0";"4.43"
"1988-03-21";"b1";"-4.056"
"1988-03-21";"b2";"-1.714"
"1988-03-21";"b3";"4.012"
"1988-03-21";"t1";"0.96"
"1988-03-21";"t2";"0.377"
"1988-03-22";"b0";
"1988-03-22";"b1";
"1988-03-22";"b2";
"1988-03-22";"b3";
"1988-03-22";"t1";
"1988-03-22";"t2";
"1988-03-23";"b0";
"1988-03-23";"b1";
"1988-03-23";"b2";
"1988-03-23";"b3";
"1988-03-23";"t1";
"1988-03-23";"t2";
"1988-03-24";"b0";
"1988-03-24";"b1";
"1988-03-24";"b2";
"1988-03-24";"b3";
"1988-03-24";"t1";
"1988-03-24";"t2";
"1988-03-25";"b0";
"1988-03-25";"b1";
"1988-03-25";"b2";
"1988-03-25";"b3";
"1988-03-25";"t1";
"1988-03-25";"t2";
"1988-03-28";"b0";"4.373"
"1988-03-28";"b1";"-3.626"
"1988-03-28";"b2";"-1.277"
"1988-03-28";"b3";"2.223"
"1988-03-28";"t1";"0.823"
"1988-03-28";"t2";"0.337"
"1988-03-29";"b0";
"1988-03-29";"b1";
"1988-03-29";"b2";
"1988-03-29";"b3";
"1988-03-29";"t1";
"1988-03-29";"t2";
"1988-03-30";"b0";
"1988-03-30";"b1";
"1988-03-30";"b2";
"1988-03-30";"b3";
"1988-03-30";"t1";
"1988-03-30";"t2";
"1988-03-31";"b0";"4.999"
"1988-03-31";"b1";"-3.633"
"1988-03-31";"b2";"-0.823"
"1988-03-31";"b3";"-2.549"
"1988-03-31";"t1";"0.728"
"1988-03-31";"t2";"6.435"
"1988-04-01";"b0";
"1988-04-01";"b1";
"1988-04-01";"b2";
"1988-04-01";"b3";
"1988-04-01";"t1";
"1988-04-01";"t2";
"1988-04-04";"b0";
"1988-04-04";"b1";
"1988-04-04";"b2";
"1988-04-04";"b3";
"1988-04-04";"t1";
"1988-04-04";"t2";
"1988-04-05";"b0";"4.248"
"1988-04-05";"b1";"-2.883"
"1988-04-05";"b2";"-1.452"
"1988-04-05";"b3";"4.091"
"1988-04-05";"t1";"2.068"
"1988-04-05";"t2";"1.418"
"1988-04-06";"b0";
